RoundNum_ByDate,Sample_ID,Site,Rep,Crucible_ID,In-oven ,Out-Oven ,"Empty Heated 
Crucible_Weight",In-oven,Out-oven,"SampleStart 
Crucible_Weight",In-Furnace ,Out-Furnace ,In-oven,Out-oven,"SampleEnd
Crucible_Weight",LOI_g,SOM_Percent,Mean_Blank_LOI-g,Adjusted_LOI,Adjusted_SOM_Percent,Comments
7_Nov30,S_DCH_H8,DC,2,40,30-Nov 830AM,11/30/23 10:30,10.3944,11/30/23 12:00,11/30/23 14:00,11.8873,11/30/23 15:30,12/1/23 8:00,12/1/23 8:30,12/1/23 11:00,11.7679,0.1194,8,-0.00005,0.11935,7.994507335,
3_Nov17,S_DCH_P1,DC,1,122,11/17/23 8:26,11/17/23 10:26,9.2295,11/17/23 11:30,11/17/23 13:30,10.2306,11/17/23 14:22,11/18/23 8:00,11/18/23 8:28,11/18/23 11:40,10.1715,0.0591,5.9,0.00005,0.05915,5.908500649,
3_Nov17,S_DCH_P1,DC,2,110,11/17/23 8:26,11/17/23 10:26,9.0761,11/17/23 11:30,11/17/23 13:30,10.3942,11/17/23 14:22,11/18/23 8:00,11/18/23 8:28,11/18/23 11:40,10.3183,0.0759,5.76,0.00005,0.07595,5.762081784,
3_Nov17,S_DCH_P2,DC,1,111,11/17/23 8:26,11/17/23 10:26,9.7672,11/17/23 11:30,11/17/23 13:30,10.8266,11/17/23 14:22,11/18/23 8:00,11/18/23 8:28,11/18/23 11:40,10.6614,0.1652,15.59,0.00005,0.16525,15.59845195,sample error
3_Nov17,S_DCH_P2,DC,2,123,11/17/23 8:26,11/17/23 10:26,9.2736,11/17/23 11:30,11/17/23 13:30,10.3084,11/17/23 14:22,11/18/23 8:00,11/18/23 8:28,11/18/23 11:40,10.2293,0.0791,7.64,0.00005,0.07915,7.648821028,
10_Dec14,S_DCH_P3,DC,2,98,12/14/23 7:30,12/14/23 9:40,11.9003,12/14/23 10:50,12/14/23 13:00,13.001,12/14/23 13:45,12/15/23 7:30,12/15/23 7:40,12/15/23 9:40,12.909,0.092,8.36,-0.0003,0.0917,8.331062051,
10_Dec14,S_DCH_P3,DC,1,76,12/14/23 7:30,12/14/23 9:40,11.3374,12/14/23 10:50,12/14/23 13:00,12.734,12/14/23 13:45,12/15/23 7:30,12/15/23 7:40,12/15/23 9:40,12.6202,0.1138,8.15,-0.0003,0.1135,8.126879565,
10_Dec14,S_DCH_P4,DC,2,6,12/14/23 7:30,12/14/23 9:40,9.7294,12/14/23 10:50,12/14/23 13:00,11.2052,12/14/23 13:45,12/15/23 7:30,12/15/23 7:40,12/15/23 9:40,11.0982,0.107,7.25,-0.0003,0.1067,7.229976962,
10_Dec14,S_DCH_P4,DC,1,27,12/14/23 7:30,12/14/23 9:40,9.7473,12/14/23 10:50,12/14/23 13:00,11.5133,12/14/23 13:45,12/15/23 7:30,12/15/23 7:40,12/15/23 9:40,11.3873,0.126,7.13,-0.0003,0.1257,7.117780294,
10_Dec14,S_DCH_P5,DC,2,39,12/14/23 7:30,12/14/23 9:40,11.2194,12/14/23 10:50,12/14/23 13:00,12.9122,12/14/23 13:45,12/15/23 7:30,12/15/23 7:40,12/15/23 9:40,12.8072,0.105,6.2,-0.0003,0.1047,6.185018904,
