Cage_ID,Rep,Tray_weight,Wet-Soil+Tray_weight,In-oven,Out-oven,Dry-Soil+Tray_weight,WHC Dry weight (g),% soil moist at 100% WHC,Moist at 100% WHC,Moist at 65% WHC
S_FNH_H3,1,2.2149,5.3143,10/19/24 13:45,10/30/24 14:00,4.6058,2.3909,22.85926308,0.296331925,0.192615751
S_FNH_H3,2,2.0604,5.9217,10/19/24 13:45,10/30/24 14:00,4.4746,2.4142,37.47701551,0.599411813,0.389617679
S_FNH_H4,1,1.1494,4.5009,10/19/24 16:10,11/3/24 16:05,3.2891,2.1397,36.15694465,0.566341076,0.368121699
S_FNH_H4,2,0.8564,3.9308,10/19/24 16:10,11/3/24 16:05,2.7781,1.9217,37.49349467,0.599833481,0.389891763
S_FNH_H5,1,1.1432,4.2229,10/18/24 20:00,11/3/24 15:55,3.1287,1.9855,35.52943469,0.551095442,0.358212037
S_FNH_H5,2,1.1642,4.4297,10/18/24 20:00,11/3/24 15:15,3.6866,2.5224,22.75608636,0.294600381,0.191490247
S_FNH_H6,1,1.158,4.1753,10/18/24 20:00,11/4/24 8:30,3.403,2.245,25.59573128,0.344008909,0.223605791
S_FNH_H6,2,1.1549,4.4268,10/18/24 20:00,11/3/24 15:15,3.1963,2.0414,37.60811761,0.602772607,0.391802195
S_FNH_H7,1,1.1459,3.6799,10/18/24 20:00,11/3/24 15:55,3.1085,1.9626,22.54932912,0.2911444,0.18924386
S_FNH_H7,2,1.1205,4.8267,10/18/24 20:00,11/3/24 14:35,3.4004,2.2799,38.48416168,0.625597614,0.406638449
S_FNH_H8,1,1.1204,3.9231,10/18/24 20:00,11/3/24 16:00,3.4098,2.2894,18.31448246,0.224207216,0.14573469
S_FNH_H8,2,1.1508,3.352,10/18/24 20:00,11/3/24 15:55,2.6144,1.4636,33.50899509,0.503962831,0.32757584
S_FNH_V1,1,1.1859,3.7853,10/18/24 20:00,11/4/24 8:30,2.9983,1.8124,30.27621759,0.434230854,0.282250055
S_FNH_V1,2,1.1652,3.7188,10/18/24 20:00,11/4/24 8:30,3.0343,1.8691,26.80529449,0.366219036,0.238042373
