Cage_ID*,Rep,Tray_weight,Wet-Soil+Tray_weight,In-oven,Out-oven,Dry-Soil+Tray_weight,WHC Dry weight (g),% soil moist at 100% WHC,Moist at 100% WHC,Moist at 65% WHC
UPS_H4,1,1.2736,5.1328,THIRD 19-Oct 11:30 AM,10/20/24 10:45,4.0682,2.7946,27.58602819,0.380948973,0.247616833
UPS_H5,1,1.2771,4.4249,THIRD 19-Oct 11:30 AM,10/20/24 10:45,3.4315,2.1544,31.55854883,0.461102859,0.299716859
UPS_H6,1,1.2762,5.6719,THIRD 19-Oct 11:30 AM,10/20/24 10:45,4.3888,3.1126,29.18989012,0.41222772,0.267948018
UPS_H7,1,1.2797,5.6201,SECOND 10/18/2023 4:00 PM,10/20/24 10:00,4.0851,2.8054,35.36540411,0.54715905,0.355653383
UPS_H8,1,1.2825,5.619,THIRD 19-Oct 11:30 AM,10/20/24 10:45,4.07,2.7875,35.72005073,0.555695067,0.361201794
YFH_H1,1,1.2815,8.9323,SECOND 10/18/2023 4:00 PM,10/20/24 10:00,6.7224,5.4409,28.88456109,0.406164421,0.264006874
YFH_H2,1,1.2736,8.1672,THIRD 19-Oct 11:30 AM,10/20/24 10:45,6.3063,5.0327,26.99460369,0.369761758,0.240345143
YFH_H3,1,1.2809,11.4109,THIRD 19-Oct 11:30 AM,10/20/24 10:45,7.9106,6.6297,34.55380059,0.527972608,0.343182195
YFH_H4,1,1.2831,9.4004,THIRD 19-Oct 11:30 AM,10/20/24 10:45,6.9101,5.627,30.67892033,0.442562644,0.287665719
YFH_H5,1,1.2775,6.8143,THIRD 19-Oct 11:30 AM,10/20/24 10:45,5.0572,3.7797,31.73493715,0.464878165,0.302170807
YFH_H6,1,1.2808,6.6397,THIRD 19-Oct 11:30 AM,10/20/24 10:45,4.7321,3.4513,35.59685756,0.552719265,0.359267522
YFH_H7,1,1.282,6.0768,THIRD 19-Oct 11:30 AM,10/20/24 10:45,4.4202,3.1382,34.54992909,0.527882226,0.343123447
YFH_H8,1,1.2754,6.5098,THIRD 19-Oct 11:30 AM,10/20/24 10:45,4.6543,3.3789,35.4481889,0.549143212,0.356943088
YFH_V1,1,1.2764,7.4721,THIRD 19-Oct 11:30 AM,10/20/24 10:45,5.2208,3.9444,36.33649144,0.570758544,0.370993053
YFH_V2,1,1.2753,4.4845,THIRD 19-Oct 11:30 AM,10/20/24 10:45,3.5889,2.3136,27.90726661,0.387102351,0.251616528
YFH_V3,1,1.2766,7.7161,THIRD 19-Oct 11:30 AM,10/20/24 10:45,5.6771,4.4005,31.66394906,0.463356437,0.301181684
YFH_V4,1,1.277,6.6288,THIRD 19-Oct 11:30 AM,10/20/24 10:45,5.1931,3.9161,26.82648828,0.366614744,0.238299584
YFH_V5,1,1.2802,6.4301,THIRD 19-Oct 11:30 AM,10/20/24 10:45,4.7351,3.4549,32.91326045,0.490607543,0.318894903
YFH_V6,1,1.2744,6.9541,THIRD 19-Oct 11:30 AM,10/20/24 10:45,5.2278,3.9534,30.39421096,0.436662114,0.283830374
YFH_V7,1,1.2807,5.2628,THIRD 19-Oct 11:30 AM,10/20/24 10:45,4.1088,2.8281,28.97968409,0.408047806,0.265231074
YFH_V8,1,1.2787,7.0602,TOP 10/17/2023 16:50:00,10/19/24 9:15,5.2678,3.9891,31.00233503,0.449324409,0.292060866
YFN_H1,1,1.279,7.0602,TOP 10/17/2023 16:50:00,10/19/24 9:15,4.7071,3.4281,40.7026223,0.686415215,0.44616989
YFN_H3,1,1.2779,4.8686,BOTTOM 10/18/2023 13:00:00,10/20/24 9:30,3.4672,2.1893,39.0286017,0.640113278,0.416073631
YFN_H4,1,1.271,7.2278,BOTTOM 10/18/2023 13:00:00,10/20/24 9:30,4.7747,3.5037,41.1815068,0.70014556,0.455094614
YFN_H5,1,1.2696,4.7076,BOTTOM 10/18/2023 13:00:00,10/20/24 9:30,3.5425,2.2729,33.8888889,0.512605042,0.333193277
YFN_H6,1,1.2815,6.3917,BOTTOM 10/18/2023 13:00:00,10/20/24 9:30,4.5248,3.2433,36.53281672,0.575617427,0.374151327
YFN_H7,1,1.2832,5.0565,BOTTOM 10/18/2023 13:00:00,10/20/24 9:30,3.9046,2.6214,30.5276548,0.439421683,0.285624094
YFN_H8,1,1.2816,3.829,BOTTOM 10/18/2023 13:00:00,10/20/24 9:30,3.158,1.8764,26.3405826,0.357599659,0.232439778
