Site,Plant,Rep,Element,Concentration_mg-kg
MC,POPRC,2,Ca,2431
MC,POPRC,3,Ca,1972
MC,POPRC,1,K,18458
MC,POPRC,2,K,18169
MC,POPRC,3,K,14202
MC,POPRC,1,Mg,1826
MC,POPRC,2,Mg,1793
MC,POPRC,3,Mg,1524
MC,POPRC,1,Na,123
MC,POPRC,2,Na,139
MC,POPRC,3,Na,111
MC,POPRC,1,B,4
MC,POPRC,2,B,4
MC,POPRC,3,B,3
MC,POPRC,1,Mn,295
MC,POPRC,2,Mn,302
MC,POPRC,3,Mn,284
MC,POPRC,1,Zn,16
MC,POPRC,2,Zn,19
MC,POPRC,3,Zn,20
MC,POPRC,1,P,1698
MC,POPRC,2,P,1690
MC,POPRC,3,P,1509
MC,POPRC,1,S,1859
MC,POPRC,2,S,1886
MC,POPRC,3,S,1647
SC,SORU,1,Al,99
SC,SORU,2,Al,83
SC,SORU,3,Al,88
SC,SORU,1,Fe,108
SC,SORU,2,Fe,96
SC,SORU,3,Fe,86
SC,SORU,1,Ca,10476
SC,SORU,2,Ca,11632
SC,SORU,3,Ca,13254
SC,SORU,1,K,18032
SC,SORU,2,K,19059
SC,SORU,3,K,20337
SC,SORU,1,Mg,2470
SC,SORU,2,Mg,2557
SC,SORU,3,Mg,2715
SC,SORU,1,Na,236
SC,SORU,2,Na,199
SC,SORU,3,Na,116
SC,SORU,1,B,116
SC,SORU,2,B,104
SC,SORU,3,B,90
SC,SORU,1,Mn,354
SC,SORU,2,Mn,401
SC,SORU,3,Mn,458
SC,SORU,1,Zn,85
SC,SORU,2,Zn,80
SC,SORU,3,Zn,100
SC,SORU,1,P,2022
SC,SORU,2,P,2270
SC,SORU,3,P,2700
SC,SORU,1,S,1193
SC,SORU,2,S,1014
SC,SORU,3,S,978
SC,MISC,1,Al,99
SC,MISC,2,Al,86
SC,MISC,3,Al,97
SC,MISC,1,Fe,106
SC,MISC,2,Fe,88
SC,MISC,3,Fe,90
SC,MISC,1,Ca,15668
SC,MISC,2,Ca,16005
SC,MISC,3,Ca,16915
SC,MISC,1,K,17514
SC,MISC,2,K,18877
SC,MISC,3,K,18998
SC,MISC,1,Mg,3059
SC,MISC,2,Mg,3119
SC,MISC,3,Mg,3309
SC,MISC,1,Na,168
SC,MISC,2,Na,137
SC,MISC,3,Na,154
SC,MISC,1,B,48
SC,MISC,2,B,50
SC,MISC,3,B,51
SC,MISC,1,Mn,369
SC,MISC,2,Mn,376
SC,MISC,3,Mn,395
SC,MISC,1,Zn,112
SC,MISC,2,Zn,115
SC,MISC,3,Zn,121
SC,MISC,1,P,2898
SC,MISC,2,P,2981
SC,MISC,3,P,3107
SC,MISC,1,S,2151
SC,MISC,2,S,2149
SC,MISC,3,S,2280
SC,POPRC,1,Al,67
SC,POPRC,2,Al,49
SC,POPRC,3,Al,62
SC,POPRC,1,Fe,79
SC,POPRC,2,Fe,62
SC,POPRC,3,Fe,68
SC,POPRC,1,Ca,6209
SC,POPRC,2,Ca,5840
SC,POPRC,3,Ca,5506
SC,POPRC,1,K,28230
SC,POPRC,2,K,27212
SC,POPRC,3,K,27161
SC,POPRC,1,Mg,2439
SC,POPRC,2,Mg,2304
SC,POPRC,3,Mg,2230
SC,POPRC,1,Na,140
SC,POPRC,2,Na,159
SC,POPRC,3,Na,172
SC,POPRC,1,B,10
SC,POPRC,2,B,9
SC,POPRC,3,B,9
SC,POPRC,1,Mn,149
SC,POPRC,2,Mn,139
SC,POPRC,3,Mn,135
SC,POPRC,1,Zn,42
SC,POPRC,2,Zn,39
SC,POPRC,3,Zn,38
SC,POPRC,1,P,3363
SC,POPRC,2,P,3206
SC,POPRC,3,P,3162
SC,POPRC,1,S,2598
SC,POPRC,2,S,2547
SC,POPRC,3,S,2611
UP,SORU,1,Al,63
UP,SORU,2,Al,58
UP,SORU,3,Al,45
UP,MISC,1,Al,114
UP,MISC,2,Al,132
UP,MISC,3,Al,109
UP,POPRC,1,Al,60
UP,POPRC,2,Al,58
UP,POPRC,3,Al,49
UP,SORU,1,Fe,68
UP,SORU,2,Fe,87
UP,SORU,3,Fe,73
UP,MISC,1,Fe,80
UP,MISC,2,Fe,78
UP,MISC,3,Fe,57
UP,POPRC,1,Fe,89
UP,POPRC,2,Fe,92
UP,POPRC,3,Fe,86
UP,SORU,1,Ca,11401
UP,SORU,2,Ca,11071
UP,SORU,3,Ca,11390
UP,MISC,1,Ca,16224
UP,MISC,2,Ca,16303
UP,MISC,3,Ca,16092
UP,POPRC,1,Ca,3888
UP,POPRC,2,Ca,3882
UP,POPRC,3,Ca,3801
UP,SORU,1,K,15679
UP,SORU,2,K,15213
UP,SORU,3,K,14568
UP,MISC,1,K,16969
UP,MISC,2,K,16601
UP,MISC,3,K,16731
UP,POPRC,1,K,24945
UP,POPRC,2,K,25895
UP,POPRC,3,K,25085
UP,SORU,1,Mg,2954
UP,SORU,2,Mg,2926
UP,SORU,3,Mg,2914
UP,MISC,1,Mg,2749
UP,MISC,2,Mg,2791
UP,MISC,3,Mg,2648
UP,POPRC,1,Mg,1428
UP,POPRC,2,Mg,1433
UP,POPRC,3,Mg,1414
UP,SORU,1,Na,61
UP,SORU,2,Na,69
UP,SORU,3,Na,89
UP,MISC,1,Na,39
UP,MISC,2,Na,50
UP,MISC,3,Na,33
UP,POPRC,1,Na,92
UP,POPRC,2,Na,68
UP,POPRC,3,Na,81
UP,SORU,1,B,73
UP,SORU,2,B,75
UP,SORU,3,B,73
