Digestion,Site,Rep,Element,Concentration_mg-kg
Total,YF,2,Fe,42628
Total,YF,3,Fe,43719
Total,YF,1,Ca,5453
Total,YF,2,Ca,5484
Total,YF,3,Ca,5579
Total,YF,1,K,22255
Total,YF,2,K,21431
Total,YF,3,K,21765
Total,YF,1,Mg,7620
Total,YF,2,Mg,7507
Total,YF,3,Mg,7291
Total,YF,1,Na,6446
Total,YF,2,Na,6181
Total,YF,3,Na,6599
Total,YF,1,B,37
Total,YF,2,B,33
Total,YF,3,B,35
Total,YF,1,Mn,1403
Total,YF,2,Mn,1390
Total,YF,3,Mn,1488
Total,YF,1,Zn,106
Total,YF,2,Zn,98
Total,YF,3,Zn,106
Total,YF,1,P,990
Total,YF,2,P,971
Total,YF,3,P,999
Total,YF,1,S,840
Total,YF,2,S,764
Total,YF,3,S,938
Available,YF,1,Al,3
Available,YF,2,Al,3
Available,YF,3,Al,4
Available,YF,1,Fe,2
Available,YF,2,Fe,2
Available,YF,3,Fe,3
Available,YF,1,Ca,470
Available,YF,2,Ca,462
Available,YF,3,Ca,535
Available,YF,1,K,83
Available,YF,2,K,81
Available,YF,3,K,96
Available,YF,1,Mg,88
Available,YF,2,Mg,94
Available,YF,3,Mg,112
Available,YF,1,Na,18
Available,YF,2,Na,19
Available,YF,3,Na,19
Available,YF,1,B,0
Available,YF,2,B,0
Available,YF,3,B,0
Available,YF,1,Mn,18
Available,YF,2,Mn,17
Available,YF,3,Mn,19
Available,YF,1,Zn,0.2
Available,YF,2,Zn,0.2
Available,YF,3,Zn,0.2
Available,YF,1,P,2
Available,YF,2,P,2.2
Available,YF,3,P,2.2
Available,YF,1,S,13
Available,YF,2,S,13
Available,YF,3,S,15
