Sample ID,Day,N-NH4 (mg per mL),blank-corrected N-NH4 (mg per mL),N-NO3 (mg per mL),blank-corrected N-NO3 (mg per mL)
YFH_V3,1,0.3459155,-0.056936817,2.067321,2.098221758
YFH_V4,1,0.243289067,-0.15956325,1.007727433,1.038628192
YFH_V5,1,0.6987338,0.295881483,3.8722732,3.903173958
YFH_V6,1,0.232257533,-0.170594783,4.3514038,4.382304558
YFH_V7,1,0.181827667,-0.22102465,0.5859287,0.616829458
YFH_V8,1,0.2259538,-0.176898517,3.2150043,3.245905058
YFN_H1,1,0.586842533,0.183990217,0.102702967,0.133603725
YFN_H3,1,0.7743786,0.371526283,0.307459633,0.338360392
YFN_H4,1,0.378819333,-0.024032983,0.2419375,0.272838258
YFN_H5,1,1.3251673,0.922314983,0.4876455,0.518546258
YFN_H6,1,0.340996933,-0.061855383,0.160034833,0.190935592
YFN_H7,1,0.6136334,0.210781083,-0.0406267,-0.009725942
YFN_H8,1,0.979249933,0.576397617,0.209176433,0.240077192
Blank,1,0.692430067,NA,-0.018103467,NA
Blank,1,0.497014333,NA,-0.011960767,NA
Blank,1,0.550596067,NA,-0.0283413,NA
Blank,1,0.8405678,NA,-0.0406267,NA
Blank,1,0.115638467,NA,-0.038579133,NA
Blank,1,0.073088267,NA,-0.044721833,NA
Blank,1,0.1077588,NA,-0.032436433,NA
Blank,1,0.345724733,NA,-0.032436433,NA
DCH_H1,30,0.5580344,0.439202546,10.7993054,10.8428031
DCH_H2,30,0.7023366,0.583504746,4.8730652,4.9165629
DCH_H3,30,0.9469166,0.828084746,3.0427853,3.086283
DCH_H4,30,1.565704,1.446872146,1.8851792,1.9286769
DCH_H5,30,0.7488068,0.629974946,2.6784869,2.7219846
DCH_H6,30,1.2184004,1.099568546,3.5844395,3.6279372
DCH_H7,30,1.4531972,1.334365346,2.6976605,2.7411582
DCH_H8,30,1.5877162,1.468884346,4.0134488,4.0569465
DCH_V1,30,1.1645928,1.045760946,3.0164216,3.0599193
DCH_V2,30,1.1058936,0.987061746,4.1748266,4.2183243
DCH_V3,30,0.7977228,0.678890946,5.3763722,5.4198699
DCH_V4,30,1.339059867,1.220228013,4.5007778,4.5442755
DCH_V5,30,1.337429333,1.218597479,4.2243584,4.2678561
DCH_V6,30,0.517271067,0.398439213,8.3690516,8.4125493
DCH_V7,30,1.846971,1.728139146,2.0074109,2.0509086
DCH_V8,30,0.831964,0.713132146,4.5503096,4.5938073
DCN_H1,30,0.585753467,0.466921613,-0.0321808,0.0113169
DCN_H2,30,0.4504192,0.331587346,0.9376838,0.9811815
DCN_H3,30,1.101002,0.982170146,-0.0209962,0.0225015
DCN_H4,30,0.559664933,0.440833079,0.249032,0.2925297
DCN_H5,30,0.375414667,0.256582813,-0.0417676,0.0017301
DCN_H6,30,1.027628,0.908796146,0.0397202,0.0832179
DCN_H7,30,0.740654133,0.621822279,-0.0497566,-0.0062589
DCN_H8,30,0.6093962,0.490564346,-0.0609412,-0.0174435
DCS_H1,30,0.5728708,0.454038946,0.227916867,0.271414567
DCS_H2,30,0.380201867,0.261370013,6.382875333,6.426373033
DCS_H4,30,0.5437276,0.424895746,3.914472933,3.957970633
DCS_H5,30,0.3542968,0.235464946,1.936249733,1.979747433
DCS_H6,30,0.425535733,0.306703879,3.59644,3.6399377
DCS_H7,30,0.569632667,0.450800813,1.063847467,1.107345167
DCS_H8,30,0.385059067,0.266227213,1.3359261,1.3794238
FNH_H1,30,0.571251733,0.452419879,12.8617022,12.9051999
FNH_H2,30,1.6195974,1.500765546,2.4344527,2.4779504
