Sample ID,Day,Batch,N-NO3 (mg per mL),N-NH4 (mg per mL)
SCH_H5,31,E31,3.855446667,-0.03492115
SCH_H6,1,F1,3.7246576,0.1569797
SCH_H6,31,F31,8.689710667,0.2485593
SCH_H7,1,A1,0.2830768,0.2637057
SCH_H7,31,A31,2.3133248,-0.011077
SCH_H8,1,B1,1.508872,0.94408395
SCH_H8,31,B31,5.717348,1.32154605
SCH_V1,1,B1,2.288392,0.2103427
SCH_V1,31,B31,5.795831733,-0.088791267
SCH_V2,1,F1,2.0408944,1.185106833
SCH_V2,31,F31,5.9978856,-0.081726333
SCH_V3,1,F1,2.7863104,0.2210153
SCH_V3,31,F31,6.5539512,-0.0693627
SCH_V4,1,C1,1.3860976,0.139192033
SCH_V4,31,C31,3.4154368,0.151416467
SCH_V5,1,E1,0.0823504,-0.0031093
SCH_V5,31,E31,1.0484008,0.0684035
SCH_V6,1,D1,3.1517104,0.162316
SCH_V6,31,D31,7.278673333,-0.19918085
SCH_V7,1,A1,0.220780172,0.045719078
SCH_V7,31,A31,2.063679733,-0.02432375
SCH_V8,1,A1,0.281128,-0.06447675
SCH_V8,31,A31,0.343717067,-0.152375667
SCN_H1,1,F1,-0.0027926,0.0968792
SCN_H1,31,F31,-0.0720275,-0.0152052
SCN_H2,1,F1,0.0070884,0.1166726
SCN_H2,31,F31,-0.0834508,-0.0717864
SCN_H3,1,D1,0.2560896,1.4743199
SCN_H3,31,D31,-0.1144569,-0.0535344
SCN_H4,1,B1,-0.0146498,1.450028
SCN_H4,31,B31,-0.1014017,0.1362864
SCN_H5,1,D1,-0.075912,0.1202714
SCN_H5,31,D31,-0.1209845,-0.0261564
SCN_H6,1,A1,-0.0245308,0.1571591
SCN_H6,31,A31,-0.1046655,0.1353738
SCN_H7,1,F1,-0.0027926,0.1571591
SCN_H7,31,F31,-0.1014017,-0.045321
SCN_H8,1,D1,0.1869226,0.2219375
SCN_H8,31,D31,-0.0557085,-0.0946014
SCS_H1,1,A1,2.0129314,-0.151438
SCS_H1,31,A31,4.3830595,-0.1082904
SCS_H2,1,A1,0.4240666,-0.2288122
SCS_H2,31,A31,2.4802641,-0.1210668
SCS_H3,1,F1,0.5920436,-0.0740638
SCS_H3,31,F31,1.796498,-0.0991644
SCS_H4,1,E1,1.5208576,-0.016483
SCS_H4,31,E31,4.0028268,-0.100077
SCS_H5,1,G1,0.891302839,-0.063301256
SCS_H5,31,G31,2.2893318,-0.0991644
SCS_H6,1,C1,1.5485244,-0.02548
SCS_H6,31,C31,4.4858692,-0.1082904
SCS_H7,1,E1,1.317309,-0.0938572
SCS_H7,31,E31,2.5129021,-0.2314914
SCS_H8,1,D1,0.6967822,0.0249032
SCS_H8,31,D31,1.7361177,-0.0462336
UPH_H1,1,G1,1.838822933,1.46950445
UPH_H1,31,G31,3.0551003,0.023142518
UPH_H2,1,B1,0.122778667,0.841633933
UPH_H2,31,B31,-0.0778396,0.1287276
UPH_H3,1,E1,0.682845333,1.211185833
UPH_H3,31,E31,0.3870444,-0.125922
UPH_H4,1,F1,0.004044533,-0.0059453
UPH_H4,31,F31,-0.0346718,-0.0039024
UPH_H5,1,A1,0.0264472,-0.004106733
UPH_H5,31,A31,-0.0778396,-0.099396
UPH_H6,1,G1,0.3490456,0.1595257
UPH_H6,31,G31,-0.0197291,-0.1471428
UPH_H7,1,G1,0.189986667,1.1799302
UPH_H7,31,G31,-0.0595763,-0.0914382
UPH_H8,1,B1,-0.025078933,0.306611033
UPH_H8,31,B31,-0.0828205,-0.1816266
UPH_V1,1,E1,0.083168133,0.530272667
UPH_V1,31,E31,-0.075119,-0.0598439
UPH_V2,1,C1,0.1713277,-0.067771333
UPH_V2,31,C31,-0.072159933,-0.0508224
UPH_V3,1,D1,0.904557267,0.523278
UPH_V3,31,D31,0.7548992,-0.0454095
UPH_V4,1,D1,0.562670167,0.059881333
UPH_V4,31,D31,-0.0928734,-0.0345837
UPH_V5,1,C1,0.09069395,-0.041541333
UPH_V5,31,C31,-0.087126367,-0.101452149
UPH_V6,1,A1,0.0229616,0.000426667
UPH_V6,31,A31,-0.045528333,-0.0652568
UPH_V7,1,B1,0.504613867,8.068774667
UPH_V7,31,B31,5.084013733,0.5373794
UPH_V8,1,E1,-0.004991433,0.11409
UPH_V8,31,E31,-0.089914333,-0.018345
UPS_H1,1,G1,1.31632695,-0.198921333
UPS_H1,31,G31,3.4580066,-0.2005793
UPS_H2,1,G1,3.747165733,-0.09575
UPS_H2,31,G31,7.1800363,-0.023580482
UPS_H3,1,C1,1.889364133,-0.177937333
UPS_H3,31,C31,5.0203938,-0.216818
UPS_H4,1,G1,2.3194108,-0.20067
UPS_H4,31,G31,3.9906386,-0.1879492
UPS_H5,1,D1,0.534717133,0.00917
UPS_H5,31,D31,1.521297467,-0.1229944
UPS_H6,1,G1,0.4938627,-0.120231333
UPS_H6,31,G31,0.279969,-0.0490181
UPS_H7,1,G1,0.382050567,-0.072143
UPS_H7,31,G31,1.601192267,-0.2925986
UPS_H8,1,D1,0.728238133,-0.17444
UPS_H8,31,D31,1.590835533,-0.1771234
YFH_H1,1,G1,0.4802796,-0.125481
YFH_H1,31,G31,3.06067,-0.171788467
YFH_H2,1,D1,1.902213467,-0.1812965
YFH_H2,31,D31,3.6723475,-0.226339933
YFH_H3,1,D1,0.542382133,-0.1236805
YFH_H3,31,D31,2.312905,-0.124055933
YFH_H4,1,B1,0.844328933,0.05907025
YFH_H4,31,B31,-0.11375,-0.083142333
YFH_H5,1,A1,1.775866933,-0.1668925
YFH_H5,31,A31,2.9503675,-0.19395
YFH_H6,1,B1,2.206301733,0.2904345
YFH_H6,31,B31,4.362735,-0.109919749
YFH_H7,1,F1,1.8294036,-0.02735375
YFH_H7,31,F31,3.89152,-0.164969533
YFH_H8,1,D1,0.8336216,0.187806
YFH_H8,31,D31,3.68524,-0.0712092
YFH_V1,1,G1,1.4278786,-0.175895
YFH_V1,31,G31,4.604905,-0.241682533
YFH_V2,1,C1,2.197735867,-0.03815675
YFH_V2,31,C31,4.9501375,-0.182016867
YFH_V3,1,F1,1.204095333,-0.0948725
YFH_V3,31,F31,3.16452625,-0.2144068
YFH_V4,1,D1,0.212596267,-0.006648
YFH_V4,31,D31,0.08107,-0.245092
YFH_V5,1,F1,0.940694933,0.0311625
YFH_V5,31,F31,2.25775375,-0.231454133
YFH_V6,1,G1,2.798356172,-0.007233656
YFH_V6,31,G31,6.2909575,-0.200768933
YFH_V7,1,E1,2.628170667,0.1247885
YFH_V7,31,E31,3.72749875,-0.219521
YFH_V8,1,F1,1.3732712,0.05817
YFH_V8,31,F31,4.73311375,-0.1121228
YFN_H1,1,C1,-0.014377333,0.027677
YFN_H1,31,C31,-0.121934,0.0696875
YFN_H2,1,G1,0.9326648,1.4988383
YFN_H2,31,G31,2.117572,0.3660805
YFN_H3,1,B1,1.683111133,1.3763873
YFN_H3,31,B31,2.821246,-0.064225
YFN_H4,1,B1,0.2540922,0.1728689
YFN_H4,31,B31,-0.014366,0.07058025
YFN_H5,1,B1,0.112458667,0.0259277
YFN_H5,31,B31,-0.121934,-0.064225
YFN_H6,1,A1,0.0321292,0.552467
YFN_H6,31,A31,-0.054704,-0.0303005
YFN_H7,1,F1,0.0955472,0.26820575
YFN_H7,31,F31,-0.12044,0.12950175
YFN_H8,1,G1,0.0194456,-0.08865145
YFN_H8,31,G31,-0.08309,-0.03654975
