Cage_ID,Rep,Tray_weight,Soil+tray_weight,Soil_weight,In-oven,Out-oven,Dry-soil+tray_weight,Dry_weight,Water_lost,Moist (g H2O g soil-1)
YFH_H2,2,1.2781,3.9629,2.6848,10/31/24 10:45,11/3/24 18:45,3.4276,2.1495,0.5353,0.249
YFH_H3,1,1.2759,4.7382,3.4623,10/31/24 10:45,11/3/24 18:45,3.9089,2.633,0.8293,0.315
YFH_H3,2,1.2944,4.8798,3.5854,10/31/24 10:45,11/3/24 18:45,4.0194,2.725,0.8604,0.3157
YFH_H4,1,1.2967,4.4356,3.1389,10/31/24 10:45,11/3/24 18:45,3.7805,2.4838,0.6551,0.2637
YFH_H4,2,1.2788,3.8663,2.5875,10/31/24 10:45,11/3/24 18:45,3.3245,2.0457,0.5418,0.2648
YFH_H5,1,1.2892,4.547,3.2578,10/31/24 10:45,11/3/24 18:45,3.9363,2.6471,0.6107,0.2307
YFH_H5,2,1.2921,5.4152,4.1231,10/31/24 10:45,11/3/24 18:45,4.6377,3.3456,0.7775,0.2324
YFH_H6,1,1.2725,5.0331,3.7606,10/31/24 10:45,11/3/24 18:45,4.0685,2.796,0.9646,0.345
YFH_H6,2,1.2791,4.9974,3.7183,10/31/24 10:45,11/3/24 18:45,4.0618,2.7827,0.9356,0.3362
YFH_H7,1,1.3167,6.0998,4.7831,10/31/24 10:45,11/3/24 18:45,4.9443,3.6276,1.1555,0.3185
YFH_H7,2,1.2781,5.3697,4.0916,10/31/24 10:45,11/3/24 18:45,4.4169,3.1388,0.9528,0.3036
YFH_H8,1,1.3918,4.995,3.6032,10/31/24 10:45,11/3/24 18:45,4.1758,2.784,0.8192,0.2943
YFH_H8,2,1.2433,5.187,3.9437,10/31/24 10:45,11/3/24 18:45,4.2813,3.038,0.9057,0.2981
YFH_V1,1,1.2495,5.3172,4.0677,10/31/24 10:45,11/3/24 18:45,4.4125,3.163,0.9047,0.286
YFH_V1,2,1.2561,5.2343,3.9782,10/31/24 10:45,11/3/24 18:45,4.3625,3.1064,0.8718,0.2806
YFH_V2,1,1.2239,3.771,2.5471,10/31/24 10:45,11/3/24 18:45,3.2506,2.0267,0.5204,0.2568
YFH_V2,2,1.2761,4.3573,3.0812,10/31/24 10:45,11/3/24 18:45,3.7298,2.4537,0.6275,0.2557
YFH_V3,1,1.2006,3.9303,2.7297,10/31/24 10:45,11/3/24 18:45,3.3346,2.134,0.5957,0.2791
YFH_V3,2,1.1909,5.0194,3.8285,10/31/24 10:45,11/3/24 18:45,4.2096,3.0187,0.8098,0.2683
YFH_V4,1,1.2339,3.5925,2.3586,10/31/24 10:45,11/3/24 18:45,3.0894,1.8555,0.5031,0.2711
YFH_V4,2,1.2312,4.082,2.8508,10/31/24 10:45,11/3/24 18:45,3.4409,2.2097,0.6411,0.2901
YFH_V5,1,1.1618,4.35,3.1882,10/31/24 10:45,11/3/24 18:45,3.7228,2.561,0.6272,0.2449
YFH_V5,2,1.143,3.4014,2.2584,10/31/24 10:45,11/3/24 18:45,2.9447,1.8017,0.4567,0.2535
YFH_V6,1,1.2684,4.5454,3.277,10/31/24 10:45,11/3/24 18:45,3.8814,2.613,0.664,0.2541
YFH_V6,2,1.1579,4.5119,3.354,10/31/24 10:45,11/3/24 18:45,3.8169,2.659,0.695,0.2614
YFH_V7,1,1.2489,5.4125,4.1636,10/31/24 10:45,11/3/24 18:45,4.5868,3.3379,0.8257,0.2474
YFH_V7,2,1.223,6.1673,4.9443,10/31/24 10:45,11/3/24 18:45,5.1928,3.9698,0.9745,0.2455
YFH_V8,1,1.109,3.9241,2.8151,10/31/24 10:45,11/3/24 18:45,3.2793,2.1703,0.6448,0.2971
YFH_V8,2,1.2989,4.1123,2.8134,10/31/24 10:45,11/3/24 18:45,3.5091,2.2102,0.6032,0.2729
YFN_H1,1,1.2625,3.9495,2.687,10/18/24 15:30,10/20/24 12:30,3.3994,2.1369,0.5501,0.2574
YFN_H1,2,1.2141,2.9078,1.6937,10/18/24 15:30,10/20/24 12:30,2.5636,1.3495,0.3442,0.2551
YFN_H2,1,1.2691,3.9016,2.6325,10/18/24 15:30,10/20/24 12:30,3.3177,2.0486,0.5839,0.285
YFN_H2,2,1.0846,4.4459,3.3613,10/18/24 15:30,10/20/24 12:30,3.6795,2.5949,0.7664,0.2953
YFN_H3,1,1.2925,5.8832,4.5907,10/18/24 15:30,10/20/24 12:30,4.7517,3.4592,1.1315,0.3271
YFN_H3,2,1.248,4.9237,3.6757,10/18/24 15:30,10/20/24 12:30,4.0336,2.7856,0.8901,0.3195
YFN_H4,1,0.9954,5.4203,4.4249,10/18/24 15:30,10/20/24 12:30,4.3339,3.3385,1.0864,0.3254
YFN_H4,2,1.2107,4.2087,2.998,10/18/24 15:30,10/20/24 12:30,3.4941,2.2834,0.7146,0.313
YFN_H5,1,1.1939,4.7732,3.5793,10/18/24 15:30,10/20/24 12:30,3.9301,2.7362,0.8431,0.3081
YFN_H5,2,1.1226,3.1394,2.0168,10/18/24 15:30,10/20/24 12:30,2.6694,1.5468,0.47,0.3039
YFN_H6,1,1.2977,3.3684,2.0707,11/2/24 10:50,11/4/24 11:40,2.8444,1.5467,0.524,0.3388
YFN_H6,2,1.2922,4.3387,3.0465,11/2/24 10:50,11/4/24 11:40,3.541,2.2488,0.7977,0.3547
YFN_H7,1,1.2667,3.3597,2.093,10/18/24 15:30,10/20/24 12:30,2.9022,1.6355,0.4575,0.2797
YFN_H7,2,1.2551,3.3863,2.1312,10/18/24 15:30,10/20/24 12:30,2.9244,1.6693,0.4619,0.2767
YFN_H8,1,1.2375,4.2526,3.0151,10/18/24 15:30,10/20/24 12:30,3.5859,2.3484,0.6667,0.2839
YFN_H8,2,1.2288,5.5799,4.3511,10/18/24 15:30,10/20/24 12:30,4.6381,3.4093,0.9418,0.2762
