Sample_ID,Site,Population,Treatment_PopType,Year,CO2CperHourperg,Overall_mineralization_rate,SORU_Biomass,POPRC_Biomass,MISC_Biomass,PercentN_SOIL,PercentN_LITTER,PercentN_POPRC,PercentN_MISC,PercentN_SORU,PercentC_SOIL,PercentC_LITTER,PercentC_POPRC,PercentC_MISC,PercentC_SORU,PlantDiversity,average_SOM
FNS_H8,YF,FN,Reactor,2023,2.771146708503905,9.223408639952735,-4.360902255639089,63.74310602805885,39.02023536269902,0.2,1.1,1.3,1.6,0,2.5,44.5,43.8,45.1,0,0.8814310190223331,NA
SCH_H1,SC,SC,Resistor,2021,1.7996958221468318,4.433042894493187,-0.4921402877697929,59.792097178120365,27.105081344766024,0.2,1.5,2.4,2.6,2.8,3.9,46.9,46.5,44.4,47.7,1.3002115759480062,8.213412833
SCH_H1,SC,SC,Resistor,2023,2.2390272620476894,7.832114901356469,19.68746372214197,55.85690106411321,8.867706944612776,0.3,1.2,2.2,1.6,2,4.7,45.5,44.2,46.3,47.3,0.9636986559814221,NA
SCH_H2,SC,SC,Resistor,2021,2.0791656100074207,12.67007799721584,5.069658273381288,48.37626064311268,33.79182639744525,0.3,1.9,2.7,2.6,2.8,4.5,46.3,44.5,45.8,45.3,1.372671533323456,9.316171698
SCH_H2,SC,SC,Resistor,2023,2.5041240349953817,-3.1916681004888474,16.982116872072453,62.326160886395336,3.265840504181313,0.4,0.7,1.5,1.9,2.3,6.4,46.7,43.7,47.2,46.1,0.7294475449994388,NA
SCH_H3,SC,SC,Resistor,2021,1.453072316194885,19.24523351405096,13.412356115107908,62.23834786419344,14.56743437099248,0.3,1.7,3.1,1.9,2.7,3.8,47.9,47.8,43.9,45.5,0.9677686204036058,7.65606208
SCH_H3,SC,SC,Resistor,2023,3.0717840204950373,12.075868959435399,50.798952497941436,30.626787757212938,22.472239728517756,0.2,0.8,1.4,1.9,2.3,3.8,45.6,45.3,45.8,46.4,1.3386025114355524,NA
SCH_H4,SC,SC,Resistor,2021,2.1010539738902603,19.812102594864193,45.39269784172662,34.51417342203192,22.925865686841508,0.3,2.7,2.8,2.2,3.4,4.8,46.9,44.9,43.8,45.8,1.5189351747479385,8.438590399
SCH_H4,SC,SC,Resistor,2023,2.479772239631563,17.936194402975815,26.450830847315768,55.209975081885,6.46690704157072,0.3,0.9,1.7,2.5,2.1,4,46.1,45.5,44.5,45.1,0.990950874746942,NA
SCH_H5,SC,SC,Resistor,2021,2.117533761542732,13.34878860949723,9.241007194244599,45.9300099570396,34.62766952903015,0.4,1,3.7,1.8,2.4,5,47.7,47.4,42.9,47.9,1.3884843347825326,8.4387303095
SCH_H5,SC,SC,Resistor,2023,2.0469969011819784,11.694683294352036,27.803504272350526,44.212233384005394,18.470906556780996,0.2,1.2,2.4,2.6,2.6,3.6,45.2,46,46.3,47.1,1.208868998478202,NA
SCH_H6,SC,SC,Resistor,2021,1.6954412026318924,31.149472753302472,6.460107913669058,72.02335060848574,9.552375581483062,0.4,2.5,3.1,3,3.2,5.5,46.8,44,42.4,46.3,0.8162362632519946,9.7396812105
SCH_H6,SC,SC,Resistor,2023,3.016905229926839,34.289204146783646,52.151625922976194,43.56530740177718,4.866373772876017,0.3,0.9,2.2,2.1,2.7,4.8,46.2,45.5,46.2,47.4,1.098696283603592,NA
SCH_H7,SC,SC,Resistor,2021,1.8554654179214585,10.81387993408657,49.56404676258993,30.43708894524346,25.433395081596217,0.3,0.9,2,2,3.3,4.3,47.2,46.1,43.2,46.9,1.3450608298777043,8.0075462985
SCH_H7,SC,SC,Resistor,2023,2.3816772027275697,8.7416437346874325,21.04013714717673,29.332935792756512,40.87837231850685,0.2,1.2,1.3,2.7,2.4,3.6,45,44.1,45.3,46.8,1.4236183495663561,NA
SCH_H8,SC,SC,Resistor,2021,2.0345290937360287,28.24993692473049,-0.4921402877697929,64.68459855026651,20.4183362920868,0.3,1.6,1.9,3.2,0,4.7,46.7,44.6,43,0,0.956734184247659,8.9360801535
SCH_H8,SC,SC,Resistor,2023,2.2878308082211065,7.928910643514518,-1.9553110784141756,48.74071525960288,30.474906071991274,0.3,1.5,2.4,1.9,2.1,5.2,46.5,43.9,44.2,46.2,1.2756698363421848,NA
SCH_V1,SC,SC,Vegetation,2021,1.7213784929095859,19.76355405336787,20.36460431654676,28.806255154528074,45.49363023963389,0.3,1.7,1.1,2.9,3.3,4.7,45.3,44.9,45.3,46.1,1.5443687885900383,9.082900451
