Sample_ID,Site.x,Year,Population,Treatment,Transplant,SORU_Biomass,POPRC_Biomass,MISC_Biomass,CO2CperHourperg,Site.y,Overall_mineralization_rate,PlantDiversity,Site,PercentN_SOIL,PercentN_LITTER,PercentN_POPRC,PercentN_MISC,PercentN_SORU,PercentC_SOIL,PercentC_LITTER,PercentC_POPRC,PercentC_MISC,PercentC_SORU,average_SOM,Treatment_PopType
UPH_V7,UP,2023,UP,Vegetation,Home,33.93795782463929,41.73477158765124,89.01888616387103,3.1863577719558114,UP,-0.07170877640648832,1.5927847705548495,Northern Common Garden,0.2,1,2.7,1.2,2.2,3.5,43.9,42.8,44.1,45.6,NA,Vegetation
UPH_V8,UP,2021,UP,Vegetation,Home,20.788513825634343,57.51857881836362,24.252740716190583,2.157210741444895,UP,-1.6625004841205606,1.3335228934056282,Northern Common Garden,0.2,1,1.8,1.9,2.1,2.6,44.2,43.5,43.8,47,6.2249153995,Vegetation
UPH_V8,UP,2023,UP,Vegetation,Home,93.68490566037735,44.62678075292503,-1.9112439805946781,1.7821666556622695,UP,7.146789530498883,1.0682720241459989,Northern Common Garden,0.2,0.9,1.5,1.3,2.5,2.4,36.4,39.3,45.2,45.6,NA,Vegetation
UPS_H1,YF,2021,UP,Herbivore,South,12.925441162730333,76.95320336091251,25.141339715812407,1.563031460199213,YF,15.482231393052867,1.1891809482016498,Southern Common Garden,0.1,1.9,2.2,2.2,1.4,1.6,42,39.6,42.1,46.9,5.351242409499999,Reactor
UPS_H1,YF,2023,UP,Herbivore,South,-4.360902255639089,75.5139094235641,16.087922177287133,2.586247422327606,YF,7.26552391467804,0.6446981049870489,Southern Common Garden,0.2,0.7,1.6,2.3,0,2.3,45.2,42.1,43.1,0,NA,Reactor
UPS_H2,YF,2021,UP,Herbivore,South,33.34138289644433,8.669516187350098,76.27823238143036,1.6913405231044618,YF,25.357612994753797,1.297334655082625,Southern Common Garden,0.1,1.7,3.4,2.7,2.1,2.1,39.7,42.8,41,46.7,5.624734656499999,Reactor
UPS_H2,YF,2023,UP,Herbivore,South,23.394736842105267,62.17366557532481,19.36396691806026,2.7202350792437464,YF,25.049455670902592,1.1122011827550544,Southern Common Garden,0.2,1.5,2.2,3,2.6,2.8,45.8,44.8,43.7,47.8,NA,Reactor
UPS_H3,YF,2021,UP,Herbivore,South,8.388565221905,72.40095754934168,33.46595014975021,1.690546362069688,YF,22.370505261743666,1.3497096235281418,Southern Common Garden,0.1,1.8,3.6,3.4,2.3,2.2,47,46.1,44.7,46.4,5.3181537164999995,Reactor
UPS_H3,YF,2023,UP,Herbivore,South,-4.360902255639089,33.92373742611221,101.26508543738842,2.989945554457059,YF,26.564660383032795,1.1735798319791921,Southern Common Garden,0.2,1.2,4,2.3,0,3.2,47.1,42.2,44.6,0,NA,Reactor
UPS_H4,YF,2021,UP,Herbivore,South,20.864974059174667,90.609940795625,3.73519859997234,1.1445755516649037,YF,12.182718561364887,0.7931487055141002,Southern Common Garden,0.2,1.6,2.1,2.5,2.1,2.3,46.1,45.2,40.2,47.6,4.321940812,Reactor
UPS_H4,YF,2023,UP,Herbivore,South,8.591729323308277,63.74310602805885,29.192101140379638,3.7899794502103616,YF,9.644974677344685,0.9000167188130308,Southern Common Garden,0.2,1.1,1.5,1.1,2.1,2.5,45.7,44.4,44.4,46.4,NA,Reactor
UPS_H5,YF,2021,UP,Herbivore,South,17.462317103555666,59.88228156752191,38.22287039771467,1.8668414032196499,YF,6.18136970348603,1.428213140764366,Southern Common Garden,0,1.4,2.4,2.3,2.3,0.4,43,39.6,40.8,46,5.379354907,Reactor
UPS_H5,YF,2023,UP,Herbivore,South,-2.5105263157894653,81.79167123450023,1.3457208438080632,2.927758101453606,YF,6.474304053287579,0.37829465850579885,Southern Common Garden,0.2,1,1.7,2.2,2.5,2.8,47.2,43.3,42.3,45.1,NA,Reactor
UPS_H6,YF,2021,UP,Herbivore,South,6.1201272514923355,12.083700546028219,103.630523807226,2.7473691761178713,YF,-1.0322381417491662,2.056922832285297,Southern Common Garden,0.1,1.8,2.5,3.2,3.1,2.9,45.8,39.6,39.4,47.3,6.449292669,Reactor
UPS_H6,YF,2023,UP,Herbivore,South,-4.360902255639089,15.875172219670823,140.57762232666593,3.3162874348351945,YF,1.4112467994755404,1.5831526804714815,Southern Common Garden,0.2,1.2,0.6,1.3,0,3.3,45.1,44.7,45.7,0,NA,Reactor
UPS_H7,YF,2021,UP,Herbivore,South,8.388565221905,24.602376527847994,84.60284281536815,1.3516478479656668,YF,7.225108704296028,1.333082442435346,Southern Common Garden,0,1.1,2.1,2,2.9,0.6,42.6,43.4,40.6,47.4,4.348871823,Reactor
UPS_H7,YF,2023,UP,Herbivore,South,36.347368421052636,66.09726670715989,-0.29230152657850006,3.467227196614065,YF,15.106675454983979,0.7685872614119248,Southern Common Garden,0.2,1,1.5,3,2.8,2.6,45.1,44.1,42.8,47.7,NA,Reactor
UPS_H8,YF,2021,UP,Herbivore,South,23.133412029587333,37.12105250966777,56.061321327581396,2.5417696241826935,YF,6.221146090193921,1.3543918428726038,Southern Common Garden,0.2,1.3,3,2.6,2.6,2.6,48,39.6,45.2,47.2,5.9061129260000005,Reactor
UPS_H8,YF,2023,UP,Herbivore,South,14.14285714285715,15.875172219670823,124.1973986228003,3.1399179922343587,YF,7.38908702428049,1.1531228502542135,Southern Common Garden,0.2,1.7,2.1,1.8,2.5,3.6,46,43.8,43.7,46.1,NA,Reactor
YFH_H1,YF,2021,YF,Herbivore,Home,32.207163911238,32.56880669809694,51.30440107961694,1.4898110944038108,YF,18.333112533183662,1.825863940125336,Southern Common Garden,0.1,0.4,1.9,2.6,2.2,2.4,42.2,43,45.7,46.3,5.0386051085000005,Resistor
YFH_H1,YF,2023,YF,Herbivore,Home,8.591729323308277,66.09726670715989,24.27803402921995,2.9343058043854437,YF,-2.4988671143614236,1.3001567003905898,Southern Common Garden,0.1,1.1,1.8,2.4,0,1.9,44.9,43.4,42.7,0,NA,Resistor
YFH_H2,YF,2021,YF,Herbivore,Home,37.87825883726966,55.33003575595108,22.762879591830178,0.9383737086522326,YF,12.480365061413448,1.362246256337973,Southern Common Garden,0,0.8,2.7,2.2,3.1,0.7,44.4,45,50.3,65,5.6098664110000005,Resistor
YFH_H2,YF,2023,YF,Herbivore,Home,56.7015037593985,51.97230263255359,12.811877436514006,3.1675675263473977,YF,9.856728342532616,1.0965956943671615,Southern Common Garden,0.2,1.4,2.3,2.3,2.4,3.4,44.9,43.8,41.8,46.3,NA,Resistor
YFH_H3,YF,2021,YF,Herbivore,Home,4.985908266286002,80.36738771959064,32.276720087759095,1.3859663701241423,YF,12.806333875359515,1.1962354426997126,Southern Common Garden,0.2,1.1,2.7,2.3,3,2.6,44.8,44.6,42.1,47.5,5.9515468975,Resistor
YFH_H3,YF,2023,YF,Herbivore,Home,3.0406015037594063,68.45142738626095,24.27803402921995,3.050129872289409,YF,5.7733779656029665,0.9422875497013843,Southern Common Garden,0.3,1.2,1.7,2.3,2.3,3.6,45.1,42.4,44,45.9,NA,Resistor
YFH_H4,YF,2021,YF,Herbivore,Home,7.254346236698669,63.29646592620003,45.35825076966136,1.719743539978826,YF,-7.960184696186992,1.729565412705271,Southern Common Garden,0.2,1.4,2.6,3.3,1.2,2.2,65.7,50.6,46.2,45.7,6.0342494890000005,Resistor
YFH_H4,YF,2023,YF,Herbivore,Home,-4.360902255639089,48.83342172708553,71.78068277043029,3.9459337331805173,YF,-5.543661845624333,0.7895296755863316,Southern Common Garden,0.2,1.3,2.9,2,0,3.5,45.5,43.9,42.4,0,NA,Resistor
YFH_H5,YF,2021,YF,Herbivore,Home,20.864974059174667,0.7030860171011503,95.30591337328819,1.2828021360129096,YF,8.301307979620253,2.0577761997758905,Southern Common Garden,0.2,2,3.5,2.4,1.6,2.4,44.9,46.2,41.9,45.2,4.974467086,Resistor
YFH_H5,YF,2023,YF,Herbivore,Home,-4.360902255639089,39.416779010681324,91.43695121506904,3.116674081068975,YF,10.237918959921007,0.7563243205489437,Southern Common Garden,0.2,1.1,2,1.9,0,3,44.8,44.2,45.3,0,NA,Resistor
YFH_H6,YF,2021,YF,Herbivore,Home,8.388565221905,90.609940795625,15.62749921988349,3.349123229771627,YF,12.704554312294343,0.9073702769985545,Southern Common Garden,0.2,0.7,1.7,1.6,2.7,3.2,45,39.6,43.9,47.3,6.5575466549999994,Resistor
YFH_H6,YF,2023,YF,Herbivore,Home,3.0406015037594063,66.09726670715989,29.192101140379638,3.5373501378828798,YF,0.3900310772766986,1.0556698482148017,Southern Common Garden,0.2,1.2,1.7,2.4,2.2,3.4,47.1,44.2,42.8,47.9,NA,Resistor
YFH_H7,YF,2021,YF,Herbivore,Home,9.522784207111334,54.19197430305837,53.68286120359917,1.818674465906792,YF,13.923019614781637,1.824744913398665,Southern Common Garden,0.1,1.1,2.4,2.2,2.4,1.1,45.5,44.8,46,47.8,5.362339478,Resistor
YFH_H7,YF,2023,YF,Herbivore,Home,-4.360902255639089,71.59030829172902,25.91605639960651,3.4413116710698928,YF,10.544784528926154,0.6989302958111385,Southern Common Garden,0.2,1.3,2.4,1.9,1.9,3.3,46.8,43.9,46.1,39.6,NA,Resistor
YFH_H8,YF,2021,YF,Herbivore,Home,29.938725940825332,71.26289609644898,13.24903909590126,1.432774148923707,YF,18.75648409155363,1.0894780208950123,Southern Common Garden,0.1,0.7,1.7,2.1,1.5,2.4,45.9,43.8,42.7,45.8,6.431113592,Resistor
YFH_H8,YF,2023,YF,Herbivore,Home,4.89097744360903,74.72918919719709,9.53583269574088,3.26850436522645,YF,13.909082969617337,0.6347849672607796,Southern Common Garden,0.2,1.3,2.5,2.4,2.7,3.3,46.6,43.4,44,48.6,NA,Resistor
YFH_V1,YF,2021,YF,Vegetation,Home,3.8516892810796692,105.40473968323019,4.924428661963455,2.0125772332786154,YF,22.508613085839293,0.4440318488646092,Southern Common Garden,0.2,1.4,2.7,2.9,2.7,2.7,45.3,39.6,44.9,47.6,5.1164530280000005,Vegetation
YFH_V1,YF,2023,YF,Vegetation,Home,8.591729323308277,65.31254648079288,24.27803402921995,3.062131447150943,YF,8.46603134188546,0.8994957984912599,Southern Common Garden,0.2,1.3,1.4,3.6,2.4,3,44.7,41.8,47.3,46.6,NA,Vegetation
YFH_V2,YF,2021,YF,Vegetation,Home,31.072944926031663,26.878499433633408,58.439781451563626,1.8013135714207005,YF,18.87179165983101,1.633407572910934,Southern Common Garden,0.1,1.4,1.5,2.1,2.3,2,45.7,45.9,42.1,46.9,6.010604596,Vegetation
YFH_V2,YF,2023,YF,Vegetation,Home,17.843609022556397,14.30573176693679,124.1973986228003,2.975124467444934,YF,9.84699838682055,0.731253237268937,Southern Common Garden,0.2,1.4,1.5,1.8,2.2,3.8,44.9,42.4,41.9,45.8,NA,Vegetation
YFH_V3,YF,2021,YF,Vegetation,Home,14.059660147936667,67.84871173777086,34.655180211741325,1.4115872798182676,YF,13.318176923856068,1.4073290711942446,Southern Common Garden,0.1,0.6,2.4,2.5,1.7,2.1,48.3,39.6,50.7,47.7,5.3016254785,Vegetation
YFH_V3,YF,2023,YF,Vegetation,Home,-4.360902255639089,44.909820595250444,79.9707946223631,2.908218737713156,YF,20.458261062756964,1.1678191312583586,Southern Common Garden,0.2,1.5,3.3,1.6,0,2.5,44.5,43.3,44.6,0,NA,Vegetation
YFH_V4,YF,2021,YF,Vegetation,Home,19.730755073968332,76.95320336091251,18.00595934386572,1.3426533163931467,YF,-2.6765921708857525,1.1671601704107626,Southern Common Garden,0.2,1,1.5,2.2,3.7,3.5,46.1,42.3,43.6,83,5.060809789,Vegetation
YFH_V4,YF,2023,YF,Vegetation,Home,30.79624060150376,56.68062399075569,24.27803402921995,2.9697016960282503,YF,-4.39495437230082,0.9962980636009784,Southern Common Garden,0.2,1.4,1.9,1.2,2.5,2.7,46.2,44.3,44,46.3,NA,Vegetation
YFH_V5,YF,2021,YF,Vegetation,Home,10.657003192317667,74.6770804551271,28.709029901785755,1.2437937758422601,YF,7.628482464905954,1.2051006057311697,Southern Common Garden,0.1,0.4,2.3,2.4,2.5,1.3,41.8,44.8,44.4,46.7,4.479320141500001,Vegetation
YFH_V5,YF,2023,YF,Vegetation,Home,21.544360902255644,62.17366557532481,21.001989288446822,2.9772590769030343,YF,11.471954121742694,1.0177806915319099,Southern Common Garden,0.2,1.3,2.4,2.5,2.5,2.9,43.3,46.4,43.5,46.5,NA,Vegetation
