"","unique.id","CO2CperHourperg"
"91","06_3",4.65025320504885
"92","06_4",2.47110383493475
"93","07_3",2.56021271264239
"94","07_4",2.85052413074127
"95","08_3",2.55705439215421
"96","08_4",2.68452257671856
"97","09_3",3.11803868129628
"98","09_4",2.13341306801563
"99","10_3",2.86411051602388
"100","10_4",1.91478096732548
"101","11_3",2.90759074774704
"102","11_4",2.12041911343762
"103","12_3",2.24541034863446
"104","12_4",2.37390955184167
"105","13_3",2.5490721349649
"106","13_4",2.14558511864374
"107","14_3",2.43758298869347
"108","14_4",2.19436281183257
"109","15_3",2.80737033842588
"110","15_4",2.35484933351663
"111","16_3",2.26004879191813
"112","16_4",2.71079147461776
"113","17_3",6.40081172254744
"114","17_4",2.20217196500697
"115","18_3",6.61736514881104
"116","18_4",2.37348965143524
"117","19_3",1.98863528336764
"118","19_4",1.99778835892101
"119","20_3",2.0497883348645
"120","20_4",2.21858946069555
"121","21_3",2.53029361104826
"122","21_4",2.64018842128113
"123","22_3",2.42925086821486
"124","22_4",2.65355528029586
"125","23_3",1.74480164932392
"126","23_4",2.3613319861411
"127","24_3",1.60441755155996
"128","24_4",2.52500289857492
"129","25_3",2.59966403037452
"130","25_4",2.12751174951429
"131","26_3",2.15075886219434
"132","26_4",1.96648205284966
"133","27_3",2.67664802019047
"134","27_4",2.2137097243695
"135","28_3",2.30823083569937
"136","28_4",2.56113908955735
"137","29_3",2.56227314537603
"138","29_4",3.27107115362337
"139","30_3",2.58983870929165
"140","30_4",3.18376251093721
"141","31_3",1.850368926289
"142","31_4",3.90225479010718
"143","32_3",2.04354504571623
"144","32_4",4.3808109606571
"145","33_3",2.70042059488434
"146","34_3",2.66553360137573
"147","35_3",1.76576114229544
"148","36_3",1.70578813479921
"149","37_3",1.98535763038605
"150","38_3",2.22515047279026
"151","39_3",3.62498893684202
"152","40_3",4.23931974198256
"153","41_3",2.94297631342586
"154","42_3",2.60318358550441
"155","43_3",2.2354726836666
"156","44_3",3.29274721349657
"157","45_3",2.88690270895554
"158","46_3",2.51480982835326
"159","47_3",3.09508391994051
"160","48_3",3.02832744015121
"161","01_5",2.58697678532002
"162","01_6",1.77584088592618
"163","02_5",2.32654818812523
"164","02_6",2.21085706692772
"165","03_5",2.21357818152943
"166","03_6",2.20078431697322
"167","04_5",2.1118049849184
"168","04_6",2.39404999227922
"169","05_5",3.18287869486001
"170","05_6",2.40547619231642
"171","06_5",3.60932086073636
"172","06_6",2.46688151805614
"173","07_5",3.45223840182245
"174","07_6",3.3931744519629
"175","08_5",2.73821831894692
"176","08_6",3.59868751593351
"177","09_5",2.70937674416223
"178","09_6",2.71643399449797
"179","10_5",2.3118052019605
"180","10_6",3.1317370127211
"181","11_5",2.48789347868656
"182","11_6",2.94121074525803
"183","12_5",2.67693976813547
"184","12_6",2.91065342509663
"185","13_5",2.61826316091723
"186","13_6",1.93715536258515
"187","14_5",2.55423168373798
"188","14_6",1.91566899133883
"189","15_5",3.30092355117671
"190","15_6",2.3456954666126
"191","16_5",3.21201761808216
"192","16_6",2.66929096708753
"193","17_5",2.56031130101406
"194","17_6",2.83715608489354
"195","18_5",2.37775101819416
"196","18_6",2.84183199819034
"197","19_5",4.4341005251239
"198","19_6",2.88546456023749
"199","20_5",3.94586110577191
"200","20_6",3.0243876864945
"201","21_5",3.344479084347
"202","21_6",2.96010208881164
"203","22_5",3.73056055727187
"204","22_6",NA
"205","23_5",3.15913492261187
"206","23_6",2.99868058584179
"207","24_5",2.9844331183782
"208","24_6",3.06126989034526
"209","25_5",3.08616731416667
"210","25_6",3.0319770944594
